Zp,Zs,LR,MR,VpVs,label
5353.0059,2672.3267,14.372,7.1414,2.0031,0
5359.2773,2633.6062,14.8501,6.9359,2.035,0
5384.7764,2623.8467,15.2267,6.8846,2.0523,0
5443.4697,2655.9636,15.5236,7.0541,2.0495,0
5505.0419999999995,2706.1003,15.66,7.3229999999999995,2.0343,0
5662.9512,2739.7634,17.0608,7.5063,2.0669,0
5711.5679,2828.905,16.6167,8.0027,2.019,0
5755.7852,2848.594,16.9005,8.1145,2.0206,0
5736.0718,2883.9824,16.268,8.3174,1.9889,0
5739.4277,2877.7402,16.3782,8.2814,1.9944,0
5803.7114,2892.7759,16.9476,8.3684,2.0063,0
5844.897,2924.2288,17.0606,8.5512,1.9988,0
5845.2783,2918.5093,17.1319,8.5177,2.0028,0
5828.0908,2907.0579,17.0647,8.451,2.0048,0
5815.9512,2905.2236,16.9447,8.4403,2.0019,0
5805.9448,2899.8167,16.8911,8.4089,2.0022,0
5806.8477,2897.9771,16.9229,8.3983,2.0038,0
5818.9019,2903.0427,17.0044,8.4277,2.0044,0
5833.418000000001,2912.7986,17.06,8.4844,2.0027,0
5861.0361,2921.5071,17.2817,8.5352,2.0062,0
5895.6953,2939.5581,17.4775,8.641,2.0056,0
5926.2046,2964.6679999999997,17.5416,8.7893,1.9989,0
5925.8462,2985.2891,17.2919,8.912,1.985,0
5913.0063,2983.2515,17.1641,8.8998,1.9821,0
5897.6567,2972.3625,17.1126,8.8349,1.9842,0
5868.8198,2959.3308,16.9281,8.7576,1.9832,0
5845.1499,2930.0432,16.9953,8.5853,1.9949,0
5843.7275,2915.8987,17.1442,8.5025,2.0041,0
5855.8730000000005,2930.5029,17.1156,8.5879,1.9982,0
5865.5264,2943.9802,17.0704,8.667,1.9924,0
5901.2612,2956.2476,17.3473,8.7395,1.9962,0
5959.0605,2991.9336,17.607,8.9519,1.9917,0
6013.6196,3038.2034,17.7028,9.2312,1.9793,0
6037.5103,3069.9805,17.6023,9.4251,1.9668,0
5976.1743,3048.8198,17.1248,9.2953,1.9602,0
5907.6895,2961.1055,17.3656,8.7686,1.9951,0
5844.8877,2898.8228,17.3556,8.4036,2.0164,0
5838.7349,2881.6859999999997,17.4826,8.3041,2.0262,0
5833.7378,2909.2937,17.1045,8.464,2.0052,0
5822.7529,2904.5671,17.0317,8.4366,2.0047,0
5786.0864,2899.0671,16.6696,8.4046,1.9958,0
5784.7378,2891.7891,16.7384,8.3624,2.0004,0
5811.8813,2888.5962,17.0902,8.344,2.012,0
5820.0068,2903.4844,17.0129,8.4302,2.0045,0
5789.8159,2905.1326,16.6446,8.4399,1.993,0
5883.8584,2882.8501,17.998,8.3109,2.041,0
5890.081999999999,2963.6296,17.1274,8.7831,1.9874,0
5954.0752,3006.9912,17.367,9.0422,1.9801,0
6010.4565,3079.9126,17.1504,9.4878,1.9518,0
6054.6328,3158.3782,16.7082,9.9754,1.9169999999999998,0
6001.0654,3098.3552,16.8134,9.5998,1.9369,0
5954.8101,3004.2874,17.4083,9.0258,1.9821,0
5926.2583,3233.7349,14.2064,10.4571,1.8326,0
5926.5171,2967.3623,17.5136,8.8053,1.9972,0
5999.8125,2948.5278,18.6118,8.6946,2.0349,0
5740.4819,2849.1968,16.7174,8.1181,2.0148,0
5632.6948,2785.5859,16.2083,7.7595,2.0221,0
5620.8262,2776.2922,16.1781,7.7078,2.0246,0
5646.3936,2794.5042,16.2633,7.8093,2.0205,0
